	biking	heart.disease
1	30.80124571	11.76942278
2	65.12921517	2.854081478
3	1.959664531	17.17780348
4	44.80019562	6.816646909
5	69.42845368	4.062223522
6	54.40362555	9.550045997
7	49.05616196	7.62450698
8	4.784604202	15.85465443
9	65.7307883	3.06746173
10	35.25744894	12.09848437
11	51.82556749	6.430248151
12	52.93619716	8.608272075
13	48.76747849	6.722523801
14	26.16680079	10.59780712
15	10.55307492	14.07947833
16	47.16371641	8.744845305
17	61.68525625	5.443342025
18	33.94439412	9.162306417
19	39.69762437	9.74718577
20	63.12469829	5.858277882
21	28.51012944	11.7247416
22	18.52597311	16.02818767
23	24.47946969	15.00071543
24	18.35864634	16.48820593
25	30.38818374	12.35660754
26	52.98521975	9.088444851
27	60.50944819	3.217214275
28	45.24711035	6.593719148
29	48.59704435	6.65942021
30	25.13977081	11.48293708
31	44.17309485	7.982227482
32	61.14694641	7.722462466
33	27.26789821	12.16481665
34	49.52709985	8.027404341
35	20.19720598	13.41654743
36	18.81122796	15.08736023
37	67.35076463	5.279863377
38	29.90447536	13.50761916
39	14.01175979	15.99298644
40	45.81548815	7.040621065
41	31.47725131	13.2385262
42	17.10820358	11.53573538
43	9.665082455	12.88681678
44	23.93300498	10.89445708
45	22.63630115	13.46603274
46	27.24747669	12.3288989
47	20.78960155	14.41578311
48	46.61371512	6.809354636
49	28.62263219	11.36836504
50	21.12749825	14.82536235
51	68.57434853	0.683926391
52	41.68436666	9.088849287
53	69.87959264	4.256483395
54	9.817276993	17.83413283
55	4.379280217	17.41181092
56	28.61037798	10.05580546
57	21.46001555	15.0086341
58	27.6016559	10.89368525
59	57.23050393	5.306817999
60	26.39728177	11.02432518
61	39.01047954	8.763929652
62	11.52748668	14.60030161
63	17.68428703	13.80212551
64	19.93525278	11.63207228
65	42.31004013	7.463001741
66	1.119154122	17.71019095
67	23.27682146	13.26638497
68	14.96581609	15.30038239
69	30.66334995	11.75315615
70	22.92518278	16.19911804
71	59.77030799	5.685681852
72	70.45606084	2.905987168
73	21.7503852	14.17984416
74	49.36068632	9.466026039
75	4.487241853	18.76693342
76	14.69326919	16.3479313
77	40.61162777	12.04664323
78	8.764197493	13.37300547
79	56.72541209	6.73577092
80	60.55114896	6.516703645
81	64.38489258	4.566894526
82	20.26279772	12.37907342
83	30.52008641	11.1407355
84	30.46154246	14.32997588
85	3.705893887	17.87769197
86	15.08246882	14.93591675
87	30.99784194	13.75798666
